level1,level2,pattern,weight
liwc,social,describing,1
liwc,social,disclo*,1
liwc,social,discuss*,1
liwc,social,divorc*,1
liwc,social,email,1
liwc,social,emailed,1
liwc,social,emailer*,1
liwc,social,emailing,1
liwc,social,emails,1
liwc,social,encourag*,1
liwc,social,enemie*,1
liwc,social,enemy*,1
liwc,social,everybod*,1
liwc,social,everyone*,1
liwc,social,everything*,1
liwc,social,ex,1
liwc,social,exbf*,1
liwc,social,exboyfriend*,1
liwc,social,excus*,1
liwc,social,exes,1
liwc,social,exgf*,1
liwc,social,exgirl*,1
liwc,social,exhubby*,1
liwc,social,exhusband*,1
liwc,social,explain,1
liwc,social,explained,1
liwc,social,explaining,1
liwc,social,explains,1
liwc,social,express*,1
liwc,social,exwife*,1
liwc,social,exwive*,1
liwc,social,families*,1
liwc,social,family,1
liwc,social,father*,1
liwc,social,fellow*,1
liwc,social,female*,1
liwc,social,feud*,1
liwc,social,fiance*,1
liwc,social,fight*,1
liwc,social,flatter*,1
liwc,social,folks,1
liwc,social,forgave,1
liwc,social,forgiv*,1
liwc,social,fought,1
liwc,social,friend*,1
liwc,social,game*,1
liwc,social,gather*,1
liwc,social,gave,1
liwc,social,gentlem*,1
liwc,social,gf*,1
liwc,social,girl,1
liwc,social,girlfriend*,1
liwc,social,girls*,1
liwc,social,give,1
liwc,social,giver*,1
liwc,social,gives,1
liwc,social,giving,1
liwc,social,gossip*,1
liwc,social,grandchil*,1
liwc,social,granddad*,1
liwc,social,granddau*,1
liwc,social,grandf*,1
liwc,social,grandkid*,1
liwc,social,grandm*,1
liwc,social,grandpa*,1
liwc,social,grandson*,1
liwc,social,granny,1
liwc,social,group*,1
liwc,social,grownup*,1
liwc,social,grudge*,1
liwc,social,guest*,1
liwc,social,guy*,1
liwc,social,he,1
liwc,social,hear,1
liwc,social,heard,1
liwc,social,hearing,1
liwc,social,hears,1
liwc,social,hed,1
liwc,social,hello*,1
liwc,social,help,1
liwc,social,helper*,1
liwc,social,helpful*,1
liwc,social,helping,1
liwc,social,helps,1
liwc,social,her,1
liwc,social,hers,1
liwc,social,herself,1
liwc,social,hes,1
liwc,social,hey,1
liwc,social,hi,1
liwc,social,him,1
liwc,social,himself,1
liwc,social,his,1
liwc,social,honey,1
liwc,social,hubby,1
liwc,social,human*,1
liwc,social,husband*,1
liwc,social,individual*,1
liwc,social,infant,1
liwc,social,infants*,1
liwc,social,inform,1
liwc,social,informs,1
liwc,social,insult*,1
liwc,social,interact*,1
liwc,social,interrup*,1
liwc,social,interview*,1
liwc,social,involv*,1
liwc,social,kid,1
liwc,social,kidding,1
liwc,social,kids*,1
liwc,social,kin,1
liwc,social,ladies,1
liwc,social,lady,1
liwc,social,language*,1
liwc,social,lets,1
liwc,social,let,1
liwc,social,letter,1
liwc,social,listen,1
liwc,social,listened,1
liwc,social,listener*,1
liwc,social,listening,1
liwc,social,listens,1
liwc,social,love,1
liwc,social,loved,1
liwc,social,lover*,1
liwc,social,loves,1
liwc,social,loving*,1
liwc,social,ma,1
liwc,social,mail,1
liwc,social,mailed,1
liwc,social,mailer*,1
liwc,social,mailing,1
liwc,social,mails,1
liwc,social,male,1
liwc,social,males,1
liwc,social,mam,1
liwc,social,man,1
liwc,social,marriag*,1
liwc,social,marrie*,1
liwc,social,mate,1
liwc,social,mates,1
liwc,social,mating,1
liwc,social,meet,1
liwc,social,meeting*,1
liwc,social,meets,1
liwc,social,members,1
liwc,social,men,1
liwc,social,mention*,1
liwc,social,messag*,1
liwc,social,met,1
liwc,social,mob,1
liwc,social,mobb*,1
liwc,social,mobs,1
liwc,social,mom,1
liwc,social,momma*,1
liwc,social,mommy*,1
liwc,social,moms,1
liwc,social,mother,1
liwc,social,motherly,1
liwc,social,mothers,1
liwc,social,mr,1
liwc,social,mrs,1
liwc,social,mum,1
liwc,social,mummy*,1
liwc,social,mums,1
liwc,social,name,1
liwc,social,negotiat*,1
liwc,social,neighbor*,1
liwc,social,neighbour*,1
liwc,social,nephew*,1
liwc,social,newborn*,1
liwc,social,niece*,1
liwc,social,offer*,1
liwc,social,organiz*,1
liwc,social,our,1
liwc,social,ours,1
liwc,social,ourselves,1
liwc,social,outsider*,1
liwc,social,overhear*,1
liwc,social,owner*,1
liwc,social,pa,1
liwc,social,pal,1
liwc,social,pals,1
liwc,social,pappy,1
liwc,social,parent*,1
liwc,social,participant*,1
liwc,social,participat*,1
liwc,social,partie*,1
liwc,social,partner*,1
liwc,social,party*,1
liwc,social,people*,1
liwc,social,person,1
liwc,social,personal,1
liwc,social,persons,1
liwc,social,persua*,1
liwc,social,phone*,1
liwc,social,phoning,1
liwc,social,prais*,1
liwc,social,private,1
liwc,social,provide,1
liwc,social,public,1
liwc,social,question*,1
liwc,social,reassur*,1
liwc,social,receiv*,1
liwc,social,refus*,1
liwc,social,relationship*,1
liwc,social,relatives,1
liwc,social,replie*,1
liwc,social,reply*,1
liwc,social,request*,1
liwc,social,respond*,1
liwc,social,role*,1
liwc,social,roomate*,1
liwc,social,roomed,1
liwc,social,roomie*,1
liwc,social,rooming,1
liwc,social,roommate*,1
liwc,social,rumor*,1
liwc,social,rumour*,1
liwc,social,said,1
liwc,social,say*,1
liwc,social,secret,1
liwc,social,secretive*,1
liwc,social,secrets,1
liwc,social,self,1
liwc,social,send*,1
liwc,social,sent,1
liwc,social,share,1
liwc,social,shared,1
liwc,social,shares,1
liwc,social,sharing,1
liwc,social,she,1
liwc,social,shes,1
liwc,social,sir,1
liwc,social,sis,1
liwc,social,sister*,1
liwc,social,social*,1
liwc,social,societ*,1
liwc,social,somebod*,1
liwc,social,someone*,1
liwc,social,son,1
liwc,social,sons,1
liwc,social,soulmate*,1
liwc,social,speak,1
liwc,social,speaking,1
liwc,social,speaks,1
liwc,social,spoke*,1
liwc,social,spous*,1
liwc,social,stepchild*,1
liwc,social,stepfat*,1
liwc,social,stepkid*,1
liwc,social,stepmot*,1
liwc,social,stories,1
liwc,social,story,1
liwc,social,suggest*,1
liwc,social,sweetheart*,1
liwc,social,sweetie*,1
liwc,social,talk,1
liwc,social,talkative*,1
liwc,social,talked,1
liwc,social,talker*,1
liwc,social,talking,1
liwc,social,talks,1
liwc,social,team*,1
liwc,social,teas*,1
liwc,social,telephon*,1
liwc,social,tell,1
liwc,social,telling,1
liwc,social,tells,1
liwc,social,thee,1
liwc,social,their*,1
liwc,social,them,1
liwc,social,themselves,1
liwc,social,they,1
liwc,social,theyd,1
liwc,social,theyll,1
liwc,social,theyre,1
liwc,social,theyve,1
liwc,social,thine,1
liwc,social,thou,1
liwc,social,thoust,1
liwc,social,thy,1
liwc,social,told,1
liwc,social,transact*,1
liwc,social,uncle,1
liwc,social,uncles,1
liwc,social,ur,1
liwc,social,us,1
liwc,social,visit*,1
liwc,social,we,1
liwc,social,wed,1
liwc,social,wedding*,1
liwc,social,weds,1
